Employee ID,Effective Date,Position ID,Pay Group ID
E123456,2024-11-15,P123456,PG_1
E123457,2024-11-15,P123457,PG_2
E123458,2024-11-15,P123458,PG_3
E123459,2024-11-15,P123459,PG_4
E123460,2024-11-15,P123460,PG_5
E123461,2024-11-15,P123461,PG_6
E123462,2024-11-15,P123462,PG_1
E123463,2024-11-15,P123463,PG_2
E123464,2024-11-15,P123464,PG_3
E123465,2024-11-15,P123465,PG_4
E123466,2024-11-15,P123466,PG_5
E123467,2024-11-15,P123467,PG_6
E123468,2024-11-15,P123468,PG_1
E123469,2024-11-15,P123469,PG_2
E123470,2024-11-15,P123470,PG_3
E123471,2024-11-15,P123471,PG_4
E123472,2024-11-15,P123472,PG_5
E123473,2024-11-15,P123473,PG_6
E123474,2024-11-15,P123474,PG_1
E123475,2024-11-15,P123475,PG_2
